USER,START TIME,END TIME
119,1067230542,1067231296
120,1067288547,1067397247
121,1067115155,1067116647
122,1067178916,1067180497
123,1067230083,1067230863
124,1067196729,1067197308
125,1067380440,1067381183
126,1067230567,1067231581
127,1067206328,1067207127
128,1066883180,1066883484
129,1067141760,1067391031
130,1067112009,1067112671
131,1067383840,1067385352
132,1067344581,1067391823
133,1067111300,1067112464
134,1067383419,1067384146
135,1067044500,1067044905
136,1067030244,1067031048
137,1066857871,1066858192
138,1067207624,1067208701
139,1067101184,1067102668
140,1067194175,1067382958
141,1067114519,1067114714
142,1067387955,1067388097
143,1067234167,1067316313
144,1067241415,1067311007
145,1067325977,1067326711
146,1067187388,1067188006
147,1067195686,1067196720
148,1067124459,1067137719
149,1067118959,1067120370
150,1067378587,1067379162
151,1067025646,1067026022
152,1067314051,1067314783
153,1067195702,1067196394
154,1067231480,1067265110
155,1067380140,1067381139
156,1067410966,1067411108
157,1067100247,1067103054
158,1067214067,1067378503
159,1067389298,1067392818
160,1067356046,1067395246
161,1067065804,1067066144
162,1067058340,1067058950
163,1067291302,1067291348
164,1067319482,1067319886
165,1066984315,1067321025
166,1067208390,1067209545
167,1067143286,1067144133
168,1067319811,1067319935
169,1067201331,1067390716
170,1066861778,1067143342
171,1067388181,1067388468
172,1067380182,1067380285
173,1067307507,1067308742
174,1067232719,1067233032
175,1067052876,1067053488
176,1067115361,1067191072
177,1067288928,1067377696
178,1067177904,1067382691
179,1067395932,1067398945
180,1067385546,1067387783
181,1067392957,1067393014
182,1066717356,1066755009
183,1067351940,1067352128
184,1067213135,1067214014
185,1067377687,1067377760
186,1067394636,1067394734
187,1067394026,1067394441
188,1067205537,1067206443
189,1067109486,1067110780
190,1067205127,1067324176
191,1066915353,1066921220
192,1067027028,1067027542
193,1067396043,1067396083
194,1067191208,1067192012
195,1067190306,1067192175
196,1067220819,1067223170
197,1067015546,1067016562
198,1067402493,1067402547
199,1067242623,1067384210
200,1067503176,1067610164
201,1067184282,1067184368
202,1067299507,1067300964
203,1067035775,1067036902
204,1067383913,1067386584
205,1067223513,1067223813
206,1067209260,1067209829
207,1067135907,1067320289
208,1067125894,1067221212
209,1067186498,1067311004
210,1067402272,1067402305
211,1067382338,1067382922
212,1067358218,1067358332
213,1067223315,1067223852
214,1067289471,1067290412
215,1067382302,1067382384
216,1066960301,1066960872
217,1067171089,1067183868
218,1067092748,1067093857
219,1067390045,1067390459
220,1067208583,1067210194
221,1067205397,1067206320
222,1067127209,1067187350
223,1067253163,1067254838
224,1067211558,1067212706
225,1066865236,1067121552
226,1067033786,1067034330
227,1067203119,1067203423
228,1067103725,1067104263
229,1067308654,1067310108
230,1067225578,1067226340
231,1067382176,1067382224
232,1067313526,1067393246
233,1067396969,1067397810
234,1067058403,1067327119
235,1067389355,1067389465
236,1067388202,1067388590
237,1067023698,1067103634
238,1067392137,1067392999
239,1067385197,1067385497
240,1067293962,1067294302
241,1067329900,1067330409
242,1067195262,1067203165
243,1067395218,1067395261
244,1067391150,1067391411
245,1067290288,1067290722
246,1067123598,1067124510
247,1067185606,1067188180
248,1067277753,1067319129
249,1067219989,1067220478
250,1067315176,1067315217
251,1067243078,1067243932
252,1067320181,1067320828
253,1067221486,1067222473
254,1067203335,1067207329
255,1067221139,1067222086
256,1067214843,1067216570
257,1067120578,1067121061
258,1067258382,1067259706
259,1067378823,1067379798
260,1067306614,1067307924
261,1067228279,1067228797
262,1067299394,1067388386
263,1066801418,1066830377
264,1067194671,1067380810
265,1067369190,1067369611
266,1067389688,1067389746
267,1067198803,1067199286
268,1067324587,1067370151
269,1067348559,1069214742
270,1067356535,1067358081
271,1067302953,1067304981
272,1067374004,1067374057
273,1067192173,1067194208
274,1067130297,1067130984
275,1067385505,1067386448
276,1067235867,1067235937
277,1067399558,1067399660
278,1067307795,1067307871
279,1067385352,1067386585
280,1067306664,1067313263
281,1067395681,1067395833
282,1071219905,1071221020
283,1067273680,1067274143
284,1066963856,1067292998
285,1067327618,1067327682
286,1067283880,1067396849
287,1067369792,1067370010
288,1067122823,1067125329
289,1067220611,1067220638
290,1067271387,1067271839
291,1067151687,1067202946
292,1067132769,1067133487
293,1067292739,1067293551
294,1067150560,1067151132
295,1067318711,1067319375
296,1067130721,1067131013
297,1067386964,1067387780
298,1067223995,1067224717
299,1067228195,1067289304
300,1067198511,1067207039
301,1067312547,1067313342
302,1067195445,1067195974
303,1067400039,1067400347
304,1067189723,1067190112
305,1067391920,1067392543
306,1067122238,1067377975
307,1067241781,1067310981
308,1067306530,1067375637
309,1067305970,1067306110
310,1067394728,1067395220
311,1067231854,1067282773
312,1067219340,1067219949
313,1067302254,1067303694
314,1067401511,1067401538
315,1067106756,1067107623
316,1067325311,1067325763
317,1067374851,1067375705
318,1067307236,1067307919
319,1067219137,1067219790
320,1067299140,1067300439
321,1067099895,1067101771
322,1067221211,1067393572
323,1067210325,1067318508
324,1067245707,1067292271
325,1067323532,1067325571
326,1067243983,1067245340
327,1067227283,1067228136
328,1067211041,1067211582
329,1067300522,1067301068
330,1067141988,1067142816
331,1067205149,1067205629
332,1067396975,1067397046
333,1067396397,1067396428
334,1067123997,1067124540
335,1067398014,1067398173
336,1067119663,1067121981
337,1067294381,1067329007
338,1067330716,1067330795
339,1067302053,1067302120
340,1067332285,1067333995
341,1067213309,1067213761
342,1067397057,1067397218
343,1067296113,1067304928
344,1067392738,1067394092
345,1067386677,1067386733
346,1067315525,1067316015
347,1067394051,1067408582
348,1067391252,1067391305
349,1067413323,1067413390
350,1067406393,1067408717
351,1067407552,1067408225
352,1067383870,1067384950
353,1067303805,1067304667
354,1067228979,1067229844
355,1067372453,1067372479
356,1067317495,1067317691
357,1067110152,1067112064
358,1067398930,1067399090
359,1067381402,1067394676
360,1067323185,1067324285
361,1067217519,1067218075
362,1067310911,1067311880
363,1067404131,1067405966
364,1067395294,1067395330
365,1067395439,1067395498
366,1067295370,1067295943
367,1067396306,1067396379
368,1067369087,1067369463
369,1067228504,1067229028
370,1067023530,1067024383
371,1067392941,1067393449
372,1067363481,1067364162
373,1067220441,1067220563
374,1067285432,1067416526
375,1067386027,1067387161
376,1067388175,1067388438
377,1067216611,1067217762
378,1067380881,1067381546
379,1067392141,1067392267
380,1067385829,1067385886
381,1067280523,1067280876
382,1067413333,1067413416
383,1067389932,1067390011
384,1067393062,1067393179
385,1067227757,1067228249
386,1067395380,1067395478
387,1067322303,1067322453
388,1067382384,1067382422
389,1067388294,1067389132
390,1067374557,1067375156
391,1067200305,1067200851
392,1067371429,1067371478
393,1067222372,1067222986
394,1067371167,1067371667
395,1067404359,1067404398
396,1067236013,1067401721
397,1067287032,1067288140
398,1067263593,1067263842
399,1067115310,1067210771
400,1067038290,1067038681
401,1067286194,1067308594
402,1067103910,1067104385
403,1067396837,1067397145
404,1067459173,1067459288
405,1067120704,1067367355
406,1067240045,1067396456
407,1067388180,1067388494
408,1067101092,1067102036
409,1067270924,1067271228
410,1067389429,1067389480
411,1067327429,1067328102
412,1067302525,1067382370
413,1067466345,1067467071
414,1067231519,1067232396
415,1067043460,1067045084
416,1067254700,1067259674
417,1067298233,1067310495
418,1066959064,1066961177
419,1067390769,1067390829
420,1067480931,1067481228
421,1067018118,1067018682
422,1067382628,1067383224
423,1067370340,1067371221
